biasedmf_20_0.01_0.005	0.8026	0.9897
biasedmf_20_0.001_0.01	0.7877	0.9769
biasedmf_320_0.005_0.005	0.7936	0.9786
pmf_320_0.05_0.01	2.6206	8.1093
biasedmf_20_0.001_0.001	0.7865	0.9807
pmf_160_0.05_0.01	2.6206	8.1093
biasedmf_160_0.001_0.05	0.7908	0.9749
pmf_80_0.001_0.001	2.6206	8.1093
pmf_160_0.005_0.01	2.6206	8.1093
pmf_320_0.001_0.01	2.6206	8.1093
pmf_160_0.01_0.05	2.6206	8.1093
pmf_20_0.005_0.001	2.6206	8.1093
biasedmf_160_0.01_0.05	0.7993	0.9828
pmf_80_0.01_0.1	2.6206	8.1092
biasedmf_320_0.05_0.01	0.8003	0.9844
biasedmf_80_0.001_0.1	0.7898	0.9742
biasedmf_20_0.005_0.01	0.8023	0.9879
pmf_40_0.001_0.005	2.6206	8.1093
biasedmf_80_0.001_0.05	0.7905	0.9747
pmf_40_0.001_0.05	2.6206	8.1092
pmf_80_0.01_0.05	2.6206	8.1093
pmf_20_0.001_0.05	2.6206	8.1092
biasedmf_160_0.005_0.05	0.7992	0.9825
biasedmf_160_0.001_0.1	0.7901	0.9745
biasedmf_80_0.005_0.001	0.7911	0.9820
pmf_160_0.001_0.05	2.6206	8.1092
biasedmf_160_0.005_0.005	0.7948	0.9802
pmf_320_0.01_0.001	2.6206	8.1093
pmf_160_0.001_0.001	2.6206	8.1093
biasedmf_320_0.005_0.1	0.7971	0.9814
biasedmf_160_0.005_0.001	0.7890	0.9795
pmf_80_0.005_0.01	2.6207	8.1093
pmf_80_0.001_0.1	2.6206	8.1092
pmf_320_0.001_0.05	2.6206	8.1092
biasedmf_160_0.01_0.01	0.8003	0.9843
pmf_80_0.005_0.001	2.6207	8.1094
pmf_20_0.05_0.005	2.6207	8.1094
pmf_80_0.005_0.1	2.6206	8.1092
pmf_160_0.005_0.1	2.6206	8.1092
pmf_20_0.01_0.05	2.6206	8.1092
biasedmf_160_0.005_0.1	0.7971	0.9814
biasedmf_80_0.01_0.001	0.7933	0.9836
biasedmf_160_0.05_0.1	0.8044	0.9978
pmf_20_0.01_0.1	2.6206	8.1092
pmf_320_0.05_0.1	2.6206	8.1093
pmf_40_0.001_0.01	2.6206	8.1093
pmf_160_0.01_0.1	2.6206	8.1092
biasedmf_80_0.01_0.01	0.8029	0.9869
biasedmf_40_0.001_0.001	0.7864	0.9802
biasedmf_80_0.01_0.05	0.7997	0.9834
biasedmf_320_0.01_0.1	0.7982	0.9831
biasedmf_20_0.05_0.05	0.8050	0.9956
biasedmf_160_0.005_0.01	0.7983	0.9823
biasedmf_160_0.001_0.005	0.7874	0.9780
biasedmf_20_0.01_0.1	0.7982	0.9832
biasedmf_160_0.05_0.005	0.8008	0.9860
biasedmf_160_0.05_0.001	0.7976	0.9864
pmf_40_0.05_0.01	2.6207	8.1094
pmf_320_0.01_0.05	2.6206	8.1092
biasedmf_160_0.01_0.001	0.7911	0.9804
pmf_40_0.001_0.1	2.6206	8.1092
pmf_20_0.05_0.1	2.6206	8.1093
biasedmf_40_0.005_0.001	0.7921	0.9824
biasedmf_40_0.01_0.005	0.8021	0.9887
pmf_160_0.05_0.05	2.6206	8.1093
biasedmf_80_0.01_0.1	0.7982	0.9831
pmf_160_0.05_0.001	2.6207	8.1094
pmf_40_0.01_0.1	2.6206	8.1092
pmf_80_0.005_0.005	2.6207	8.1094
pmf_320_0.005_0.001	2.6207	8.1093
biasedmf_40_0.001_0.1	0.7894	0.9738
pmf_320_0.01_0.1	2.6206	8.1092
pmf_320_0.005_0.05	2.6206	8.1092
biasedmf_20_0.01_0.05	0.8008	0.9845
pmf_160_0.01_0.001	2.6206	8.1093
pmf_40_0.01_0.005	2.6207	8.1094
biasedmf_20_0.01_0.001	0.7938	0.9847
biasedmf_80_0.05_0.1	0.8044	0.9978
biasedmf_80_0.001_0.001	0.7867	0.9803
biasedmf_80_0.05_0.001	0.7996	0.9920
biasedmf_80_0.01_0.005	0.8015	0.9867
pmf_20_0.001_0.001	2.6206	8.1093
biasedmf_40_0.01_0.1	0.7981	0.9830
biasedmf_320_0.01_0.01	0.7990	0.9825
biasedmf_320_0.001_0.1	0.7904	0.9748
biasedmf_20_0.001_0.005	0.7870	0.9785
pmf_320_0.001_0.001	2.6206	8.1093
biasedmf_40_0.005_0.01	0.8017	0.9868
