pmf_160_0.001_0.005	0.8572	0.9418	0.5321	0.6258	1.0969	1.8034	1.1311	1.2183	0.4709	0.6032	1.6095	4.0502
pmf_80_0.05_0.1	0.7749	0.6254	0.4607	0.7324	1.2968	2.0145	1.0714	0.6923	0.3419	0.8143	2.2535	5.0109
pmf_40_0.05_0.001	0.8437	0.8194	0.6646	0.7149	1.0915	1.6410	1.3338	1.3386	0.7459	0.8646	1.8907	4.1745
biasedmf_80_0.001_0.005	0.9158	1.1385	0.6418	0.5499	0.9470	1.6787	1.2826	1.7606	0.6436	0.4829	1.2502	3.4707
pmf_40_0.005_0.05	0.7902	0.7265	0.5777	0.6964	1.0929	1.7439	1.1172	1.0022	0.5243	0.7553	1.7757	4.2251
pmf_320_0.05_0.001	0.7994	0.7770	0.5901	0.6624	1.0656	1.6876	1.1797	1.1334	0.5871	0.7476	1.7855	4.1677
pmf_40_0.05_0.1	0.7761	0.6234	0.4653	0.7381	1.2950	2.0185	1.0815	0.6994	0.3505	0.8282	2.2662	5.0280
pmf_20_0.05_0.01	0.8527	0.7807	0.6423	0.7848	1.1461	1.7808	1.3611	1.2567	0.6834	0.9799	2.0638	4.6819
biasedmf_40_0.005_0.05	0.9006	1.1123	0.6521	0.5730	0.9117	1.5409	1.2944	1.7917	0.6643	0.5299	1.2391	3.1939
pmf_20_0.05_0.001	0.8929	0.8654	0.7284	0.8048	1.0720	1.6743	1.5129	1.5676	0.9197	1.0387	1.9113	4.4247
pmf_320_0.005_0.01	0.7816	0.7247	0.5721	0.6826	1.0779	1.7081	1.1143	0.9953	0.5285	0.7664	1.7740	4.1598
pmf_40_0.005_0.001	0.8119	0.7766	0.6440	0.7032	1.0409	1.6217	1.2116	1.1922	0.6627	0.8001	1.6982	4.0414
biasedmf_160_0.05_0.05	0.9022	1.1655	0.6148	0.4876	0.9187	1.6346	1.2819	1.8268	0.5968	0.4131	1.2513	3.3941
pmf_160_0.005_0.005	0.7894	0.7394	0.5931	0.6836	1.0685	1.6825	1.1404	1.0523	0.5735	0.7655	1.7464	4.1218
pmf_80_0.05_0.001	0.8226	0.8059	0.6356	0.6849	1.0639	1.6462	1.2522	1.2437	0.6860	0.7988	1.7916	4.0959
biasedmf_20_0.001_0.1	0.9228	1.1737	0.6176	0.5126	0.9651	1.7382	1.2711	1.7774	0.5887	0.4200	1.2550	3.5782
pmf_320_0.01_0.005	0.7826	0.7287	0.5739	0.6759	1.0795	1.7131	1.1323	1.0148	0.5394	0.7707	1.8080	4.2098
pmf_20_0.01_0.005	0.8776	0.8483	0.7320	0.7839	1.0629	1.6047	1.4293	1.4748	0.8622	0.9867	1.8629	4.0721
pmf_40_0.005_0.005	0.8092	0.7713	0.6368	0.7016	1.0453	1.6333	1.2008	1.1719	0.6474	0.7948	1.7053	4.0542
pmf_80_0.005_0.05	0.7837	0.7134	0.5571	0.6925	1.1160	1.7546	1.1047	0.9604	0.4977	0.7558	1.8406	4.2387
pmf_80_0.001_0.05	0.8554	0.9214	0.5132	0.6369	1.1348	1.8574	1.1276	1.1708	0.4348	0.6176	1.6958	4.2150
biasedmf_80_0.05_0.01	0.9022	1.1374	0.6472	0.5390	0.9074	1.5450	1.3282	1.8543	0.6801	0.5096	1.2957	3.2304
pmf_40_0.01_0.001	0.8231	0.7854	0.6683	0.7047	1.0563	1.6306	1.2796	1.2618	0.7254	0.8415	1.7997	4.1393
biasedmf_160_0.01_0.1	0.8996	1.1545	0.6120	0.5002	0.9157	1.6369	1.2534	1.7798	0.5761	0.4149	1.2274	3.3424
biasedmf_320_0.05_0.05	0.9022	1.1658	0.6125	0.4855	0.9224	1.6386	1.2809	1.8236	0.5957	0.4096	1.2577	3.4022
biasedmf_320_0.001_0.001	0.9156	1.1369	0.6430	0.5516	0.9463	1.6760	1.2832	1.7600	0.6462	0.4859	1.2501	3.4656
biasedmf_320_0.05_0.005	0.8917	1.1212	0.6390	0.5370	0.8987	1.5299	1.3132	1.8310	0.6713	0.5079	1.2751	3.2181
