biasedmf_0.01_0.9_0.05_0.01_0.005_20	0.9183	1.2556
biasedmf_0.01_0.9_0.01_0.05_0.005_40	0.9183	1.2556
biasedmf_0.01_1.0_0.005_0.05_0.005_40	0.8966	1.3933
biasedmf_0.005_1.0_0.05_0.05_0.05_40	0.8958	1.3280
pmf_0.01_0.9_0.05_0.05_0.01_80	1.1835	2.8596
pmf_0.01_1.0_0.005_0.05_0.05_320	0.7604	1.0614
pmf_0.005_0.9_0.005_0.05_0.01_320	1.1000	2.5044
pmf_0.01_1.0_0.005_0.05_0.005_40	0.8022	1.1755
pmf_0.005_1.0_0.01_0.01_0.005_40	0.8123	1.2134
pmf_0.01_0.9_0.005_0.005_0.05_320	1.0869	2.4441
biasedmf_0.01_1.0_0.005_0.01_0.01_160	0.8790	1.3279
biasedmf_0.01_1.0_0.005_0.05_0.05_40	0.9084	1.3798
pmf_0.005_1.0_0.005_0.01_0.05_20	0.8629	1.4071
pmf_0.01_0.9_0.05_0.005_0.005_80	1.1725	2.8151
pmf_0.005_0.9_0.05_0.005_0.05_40	1.2110	2.9786
biasedmf_0.01_0.9_0.005_0.005_0.05_40	0.9216	1.2540
biasedmf_0.005_1.0_0.005_0.005_0.05_320	0.8942	1.2928
pmf_0.005_1.0_0.01_0.005_0.005_40	0.8148	1.2236
biasedmf_0.01_0.9_0.05_0.05_0.005_40	0.9183	1.2556
pmf_0.01_0.9_0.005_0.05_0.005_20	1.2191	3.0132
pmf_0.005_1.0_0.01_0.01_0.05_160	0.7736	1.1156
biasedmf_0.01_1.0_0.005_0.005_0.005_160	0.8775	1.3349
biasedmf_0.005_0.9_0.01_0.01_0.005_20	0.9183	1.2556
biasedmf_0.01_0.9_0.005_0.005_0.05_20	0.9217	1.2540
pmf_0.005_0.9_0.01_0.005_0.01_20	1.2145	2.9936
pmf_0.005_0.9_0.01_0.01_0.005_320	1.0894	2.4554
pmf_0.005_1.0_0.01_0.05_0.005_160	0.7665	1.0825
biasedmf_0.01_1.0_0.05_0.01_0.01_20	0.9243	1.4819
pmf_0.005_1.0_0.05_0.01_0.05_80	0.7760	1.1007
pmf_0.01_1.0_0.01_0.01_0.05_320	0.7644	1.0819
biasedmf_0.005_0.9_0.05_0.01_0.005_80	0.9183	1.2556
biasedmf_0.005_1.0_0.01_0.05_0.01_80	0.8831	1.3380
pmf_0.01_0.9_0.005_0.01_0.005_160	1.1417	2.6904
biasedmf_0.005_0.9_0.05_0.01_0.01_20	0.9186	1.2554
pmf_0.005_0.9_0.005_0.05_0.005_40	1.2142	2.9917
pmf_0.005_0.9_0.05_0.05_0.005_20	1.2208	3.0208
pmf_0.005_1.0_0.05_0.05_0.01_80	0.7701	1.0702
pmf_0.01_0.9_0.005_0.005_0.05_40	1.2078	2.9651
biasedmf_0.01_0.9_0.005_0.05_0.01_20	0.9186	1.2554
biasedmf_0.01_1.0_0.005_0.01_0.01_80	0.8857	1.3568
biasedmf_0.01_0.9_0.05_0.005_0.005_40	0.9183	1.2556
pmf_0.005_0.9_0.05_0.01_0.01_80	1.1738	2.8201
biasedmf_0.01_1.0_0.005_0.005_0.005_40	0.9025	1.4302
biasedmf_0.005_1.0_0.005_0.05_0.05_80	0.8946	1.3279
biasedmf_0.01_1.0_0.01_0.005_0.01_80	0.8847	1.3528
pmf_0.01_1.0_0.01_0.05_0.005_80	0.7795	1.1121
biasedmf_0.005_0.9_0.05_0.01_0.05_20	0.9217	1.2540
pmf_0.005_0.9_0.005_0.01_0.005_320	1.0884	2.4509
biasedmf_0.01_0.9_0.01_0.005_0.05_320	0.9217	1.2540
pmf_0.01_1.0_0.05_0.05_0.05_40	0.7848	1.1085
biasedmf_0.01_0.9_0.05_0.05_0.05_160	0.9216	1.2540
biasedmf_0.005_0.9_0.05_0.05_0.005_20	0.9183	1.2556
pmf_0.01_1.0_0.005_0.005_0.05_40	0.8196	1.2402
pmf_0.005_0.9_0.01_0.01_0.005_40	1.2090	2.9699
biasedmf_0.005_1.0_0.005_0.01_0.05_20	0.9608	1.5772
biasedmf_0.005_1.0_0.05_0.05_0.01_160	0.8762	1.2969
biasedmf_0.005_0.9_0.005_0.05_0.05_160	0.9216	1.2540
biasedmf_0.01_1.0_0.005_0.01_0.01_20	0.9459	1.5727
pmf_0.01_0.9_0.05_0.01_0.005_80	1.1738	2.8201
biasedmf_0.01_0.9_0.01_0.005_0.05_20	0.9217	1.2540
pmf_0.005_1.0_0.01_0.005_0.05_320	0.7653	1.0875
biasedmf_0.01_1.0_0.05_0.05_0.005_20	0.9111	1.4230
biasedmf_0.005_0.9_0.005_0.05_0.005_320	0.9183	1.2556
pmf_0.005_0.9_0.01_0.005_0.01_80	1.1672	2.7930
pmf_0.005_1.0_0.005_0.01_0.01_40	0.8168	1.2292
pmf_0.01_0.9_0.005_0.005_0.01_160	1.1404	2.6847
pmf_0.005_0.9_0.005_0.05_0.005_160	1.1526	2.7350
biasedmf_0.005_0.9_0.05_0.05_0.05_80	0.9216	1.2540
biasedmf_0.01_1.0_0.05_0.01_0.05_320	0.8835	1.2673
pmf_0.005_0.9_0.05_0.005_0.005_80	1.1725	2.8151
pmf_0.01_0.9_0.01_0.05_0.01_40	1.2145	2.9930
pmf_0.005_1.0_0.01_0.005_0.005_160	0.7749	1.1222
biasedmf_0.01_0.9_0.005_0.005_0.05_160	0.9216	1.2540
biasedmf_0.01_0.9_0.05_0.01_0.005_40	0.9183	1.2556
pmf_0.01_1.0_0.01_0.01_0.05_160	0.7736	1.1156
biasedmf_0.01_1.0_0.01_0.05_0.01_40	0.8961	1.3829
biasedmf_0.005_0.9_0.05_0.005_0.05_320	0.9217	1.2540
biasedmf_0.005_0.9_0.01_0.05_0.05_160	0.9216	1.2540
pmf_0.01_0.9_0.05_0.01_0.05_80	1.1738	2.8201
biasedmf_0.01_1.0_0.005_0.01_0.01_320	0.8747	1.3014
pmf_0.005_0.9_0.005_0.005_0.01_160	1.1404	2.6847
biasedmf_0.005_1.0_0.01_0.01_0.005_160	0.8767	1.3288
